"","cntry","gndr","crmvct","brncntr","Universalism","Security","marital1","ageadlt1","ageoage1","agea1","agemage1","eduyrs1"
"10179","Germany","Male","Yes","Yes",3.66666666666667,1,"NEVER married",23,70,62,35,17
"10180","Germany","Female","No","Yes",3,4,"Legally married",20,75,59,35,11
"10181","Germany","Female","No","Yes",3,3.5,"Legally married",20,65,54,40,18
"10182","Germany","Female","No","Yes",4,1,"NEVER married",21,64,27,40,16
"10183","Germany","Male","No","Yes",1.66666666666667,4,"NEVER married",20,50,43,33,13
"10184","Germany","Male","No","Yes",4.66666666666667,2,"Legally married",25,85,42,60,16
"10186","Germany","Female","Yes","No",4.66666666666667,5,"Legally married",20,60,76,40,7
"10188","Germany","Male","No","Yes",4.33333333333333,3.5,"Legally married",17,60,33,38,19
"10189","Germany","Female","No","Yes",4.33333333333333,4,"Legally married",25,70,26,45,13
"10190","Germany","Male","No","No",2.66666666666667,5,"Legally married",18,55,67,30,8
"10191","Germany","Female","Yes","Yes",3.33333333333333,4.5,"Divorced",23,70,49,38,14
"10192","Germany","Male","No","Yes",3.66666666666667,3.5,"Divorced",20,70,42,40,9
"10194","Germany","Male","Yes","Yes",3.33333333333333,4,"NEVER married",25,70,36,40,12
"10195","Germany","Female","No","Yes",5,4.5,"Legally married",25,50,33,35,14
"10196","Germany","Female","No","Yes",5,4,"Legally married",20,65,59,45,15
"10197","Germany","Male","No","Yes",4.66666666666667,4.5,"NEVER married",20,60,36,40,15
"10198","Germany","Male","No","Yes",5,2.5,"Legally married",18,60,57,35,19
"10201","Germany","Female","No","Yes",4.33333333333333,4,"Legally married",20,50,41,35,12
"10203","Germany","Female","No","Yes",4.66666666666667,3.5,"Legally married",24,60,41,37,8
"10204","Germany","Male","Yes","Yes",4.33333333333333,2,"Legally married",18,65,42,30,17
"10206","Germany","Female","No","Yes",3.66666666666667,3.5,"Legally married",23,65,71,45,13
"10207","Germany","Female","No","Yes",4.33333333333333,4.5,"Legally married",30,70,72,50,10
"10208","Germany","Female","No","Yes",4,4,"Legally married",23,70,70,45,10
"10209","Germany","Male","No","Yes",4.33333333333333,4,"Legally married",20,70,66,45,13
"10210","Germany","Female","No","Yes",4,3.5,"Widowed",20,60,76,40,10
"10212","Germany","Male","No","Yes",4.66666666666667,4.5,"NEVER married",20,70,32,45,12
"10213","Germany","Female","No","Yes",4,4,"Legally married",20,70,48,45,10
"10214","Germany","Female","No","Yes",4,4,"Legally married",20,70,35,45,15
"10215","Germany","Male","No","Yes",3.33333333333333,3.5,"NEVER married",20,70,30,45,11
"10216","Germany","Female","No","No",4,4,"Legally married",22,70,63,45,8
"10217","Germany","Female","No","Yes",4,4,"Divorced",20,70,48,45,13
"10218","Germany","Male","No","Yes",4,4,"Legally married",20,70,42,45,16
"10219","Germany","Female","No","Yes",4,4,"Legally married",20,65,56,45,14
"10220","Germany","Female","No","Yes",4,4,"Widowed",20,65,74,45,11
"10221","Germany","Male","Yes","No",4,4.5,"NEVER married",18,60,35,40,10
"10222","Germany","Male","No","Yes",4,4,"Legally married",18,70,71,45,10
"10223","Germany","Male","Yes","Yes",4,4,"Legally married",20,70,53,45,13
"10224","Germany","Female","No","Yes",4,4,"Legally married",20,65,42,45,13
"10225","Germany","Female","No","Yes",4,4,"NEVER married",20,70,44,45,15
"10226","Germany","Female","Yes","No",4,4,"Legally married",20,70,26,45,8
"10227","Germany","Male","No","Yes",4,4,"NEVER married",20,65,27,45,12
"10228","Germany","Male","No","Yes",4,4,"Legally married",20,70,36,45,13
"10229","Germany","Male","No","Yes",4,4,"NEVER married",20,70,22,45,13
"10230","Germany","Female","Yes","Yes",4,4,"NEVER married",18,65,21,40,10
"10231","Germany","Female","No","Yes",4,4,"Legally married",20,60,46,40,13
"10232","Germany","Male","No","No",4,4,"Legally married",20,70,62,45,9
"10233","Germany","Male","No","Yes",3.66666666666667,4.5,"Legally married",20,70,64,35,12
"10234","Germany","Female","No","Yes",3.66666666666667,5,"Legally married",18,60,64,35,12
"10236","Germany","Female","No","Yes",4.66666666666667,4,"NEVER married",20,65,16,40,9
"10238","Germany","Female","No","Yes",3.66666666666667,4.5,"Legally married",20,65,60,35,10
"10245","Germany","Male","Yes","Yes",4.33333333333333,4.5,"NEVER married",20,60,29,35,12
"10248","Germany","Male","Yes","Yes",3.66666666666667,4.5,"Legally married",18,70,67,30,13
"10249","Germany","Male","No","Yes",3,4.5,"Legally married",18,60,58,35,14
"10253","Germany","Male","No","Yes",2.66666666666667,3.5,"NEVER married",30,85,27,50,14
"10254","Germany","Male","No","Yes",3.33333333333333,2.5,"Legally married",19,70,59,45,12
"10255","Germany","Male","No","Yes",3,4.5,"Legally married",18,70,37,35,15
"10256","Germany","Female","No","Yes",4.66666666666667,4.5,"Legally married",18,70,49,38,17
"10257","Germany","Female","No","Yes",3.66666666666667,4,"Legally married",18,70,36,40,13
"10258","Germany","Male","No","No",2.33333333333333,1,"Legally married",20,65,51,40,20
"10259","Germany","Female","No","No",4,4,"Divorced",25,60,43,40,13
"10261","Germany","Male","No","No",4.33333333333333,2,"Legally married",16,60,52,35,13
"10262","Germany","Female","Yes","Yes",4.66666666666667,3,"Divorced",18,70,44,35,14
"10263","Germany","Female","No","Yes",4.33333333333333,4.5,"Legally married",25,70,48,40,11
"10264","Germany","Female","Yes","Yes",3.66666666666667,4.5,"Legally married",21,70,41,40,12
"10265","Germany","Female","No","Yes",5,4,"Legally married",30,60,45,40,17
"10266","Germany","Male","No","No",4,2,"Legally married",17,70,76,40,8
"10267","Germany","Female","Yes","No",4.33333333333333,4,"Legally married",20,50,34,40,6
"10269","Germany","Female","No","Yes",4.33333333333333,4,"Legally married",16,66,41,40,15
"10270","Germany","Female","No","No",4.33333333333333,4.5,"Legally married",21,55,64,40,11
"10271","Germany","Male","No","Yes",4,4,"Legally married",22,65,38,35,14
"10273","Germany","Male","No","Yes",3,4,"Legally married",23,55,53,40,12
"10274","Germany","Female","No","Yes",4.33333333333333,4,"Legally married",18,60,56,30,19
"10275","Germany","Male","Yes","No",4.33333333333333,1.5,"NEVER married",20,65,52,40,20
"10276","Germany","Female","No","No",4.66666666666667,4,"NEVER married",17,55,20,30,13
"10277","Germany","Female","No","Yes",4.33333333333333,3,"Legally married",16,70,35,43,23
"10278","Germany","Male","No","No",3,2.5,"Divorced",18,80,32,40,14
"10279","Germany","Male","No","Yes",4.66666666666667,3,"Legally married",16,50,47,30,20
"10280","Germany","Male","No","Yes",4.33333333333333,4,"Legally married",18,58,38,35,18
"10281","Germany","Female","No","Yes",4.33333333333333,3.5,"Legally married",18,60,50,35,18
"10283","Germany","Female","No","Yes",3,2.5,"NEVER married",18,65,23,40,16
"10284","Germany","Female","No","Yes",4,4,"Widowed",18,70,77,40,10
"10285","Germany","Male","No","Yes",3.33333333333333,4.5,"Legally married",14,70,55,47,11
"10286","Germany","Female","No","Yes",4,3.5,"Legally married",24,70,51,35,14
"10287","Germany","Male","No","No",4,4,"Divorced",23,70,63,40,15
"10288","Germany","Female","No","Yes",3.66666666666667,4,"Legally married",21,70,46,35,14
"10289","Germany","Male","No","Yes",3.66666666666667,4,"NEVER married",18,60,23,40,15
"10290","Germany","Male","No","Yes",4.33333333333333,4.5,"Divorced",20,60,55,40,13
"10291","Germany","Male","Yes","Yes",3.66666666666667,1,"Legally married",20,50,53,30,15
"10292","Germany","Female","No","Yes",4,4,"Legally married",20,70,31,40,12
"10293","Germany","Female","No","Yes",3.33333333333333,1.5,"NEVER married",25,65,23,35,15
"10294","Germany","Female","No","Yes",5,4,"Divorced",25,70,52,55,12
"10296","Germany","Female","No","Yes",4.33333333333333,3,"Widowed",20,55,87,40,8
"10298","Germany","Male","No","Yes",2.66666666666667,1.5,"Legally married",22,70,40,45,19
"10299","Germany","Male","No","Yes",4.33333333333333,4,"Legally married",25,70,55,30,20
"10300","Germany","Female","No","Yes",2.66666666666667,2.5,"Legally married",17,80,66,45,12
"10301","Germany","Male","Yes","Yes",3.66666666666667,2,"NEVER married",18,40,54,30,8
"10302","Germany","Male","No","Yes",3,3,"Legally married",18,60,34,40,11
"10304","Germany","Male","No","Yes",4.66666666666667,2.5,"NEVER married",20,60,18,28,12
"10305","Germany","Female","Yes","No",4.33333333333333,2,"NEVER married",18,50,21,30,14
"10306","Germany","Female","No","Yes",2.66666666666667,2.5,"Divorced",25,70,54,45,12
"10307","Germany","Male","No","Yes",3.33333333333333,2.5,"Legally married",35,75,60,55,18
"10308","Germany","Female","No","Yes",4.66666666666667,3.5,"Divorced",18,60,71,35,16
"10309","Germany","Male","No","Yes",4.33333333333333,3,"Widowed",16,60,86,25,18
"10310","Germany","Female","No","Yes",3.66666666666667,3.5,"Divorced",22,55,41,40,12
"10311","Germany","Male","No","Yes",3.33333333333333,4,"Legally married",19,65,67,45,15
"10312","Germany","Male","No","No",4.33333333333333,3,"Legally married",18,45,52,37,20
"10313","Germany","Female","No","Yes",4.33333333333333,4,"NEVER married",20,75,49,40,17
"10314","Germany","Female","No","Yes",4.66666666666667,1,"Legally married",16,80,59,40,20
"10315","Germany","Male","No","Yes",3,4.5,"Legally married",21,65,67,40,10
"10316","Germany","Male","Yes","Yes",2,3.5,"NEVER married",15,60,24,25,17
"10317","Germany","Female","No","Yes",4,1.5,"Legally married",21,55,34,30,16
"10319","Germany","Male","No","Yes",3.33333333333333,4.5,"Legally married",30,60,33,35,14
"10320","Germany","Female","No","Yes",3.33333333333333,5,"Legally married",18,70,60,30,13
"10322","Germany","Female","No","Yes",3.66666666666667,3.5,"Legally married",20,70,50,45,20
"10323","Germany","Male","No","Yes",4,3,"Legally married",21,80,68,45,20
"10324","Germany","Female","No","Yes",3.66666666666667,4,"Divorced",20,65,76,45,12
"10325","Germany","Female","No","Yes",4.33333333333333,4.5,"Widowed",27,60,72,45,12
"10326","Germany","Male","No","Yes",3.33333333333333,3.5,"Divorced",20,60,33,35,13
"10327","Germany","Female","No","Yes",2,4,"NEVER married",16,60,41,40,8
"10328","Germany","Male","No","Yes",2.66666666666667,2.5,"NEVER married",16,60,55,40,13
"10331","Germany","Male","No","Yes",3.66666666666667,3,"Legally married",20,70,62,40,19
"10332","Germany","Male","No","Yes",3.66666666666667,3.5,"Divorced",14,70,50,45,12
"10334","Germany","Male","No","Yes",3.66666666666667,4,"Legally married",24,65,48,40,17
"10335","Germany","Male","No","Yes",2.66666666666667,3,"Legally married",20,70,58,40,15
"10339","Germany","Male","No","Yes",3.33333333333333,3.5,"Legally married",18,75,56,40,12
"10341","Germany","Female","No","Yes",3.66666666666667,4.5,"Widowed",27,70,59,35,13
"10342","Germany","Female","No","Yes",4.66666666666667,4.5,"Legally married",20,70,69,35,13
"10343","Germany","Male","No","Yes",2.66666666666667,3.5,"Legally married",16,70,66,40,18
"10344","Germany","Female","No","No",4.33333333333333,3.5,"Legally married",25,60,43,40,15
"10345","Germany","Male","No","Yes",4.33333333333333,4.5,"Legally married",22,60,53,40,15
"10346","Germany","Male","Yes","Yes",2.66666666666667,2.5,"NEVER married",21,50,21,30,12
"10347","Germany","Male","No","Yes",4,4,"Widowed",18,60,72,35,10
"10348","Germany","Female","No","Yes",3.33333333333333,3.5,"NEVER married",18,50,24,30,12
"10350","Germany","Female","No","Yes",4,3,"Legally married",21,60,54,45,13
"10351","Germany","Male","No","Yes",3.33333333333333,2.5,"Divorced",18,65,49,45,13
"10352","Germany","Female","No","Yes",3,1,"Legally married",18,60,41,30,20
"10353","Germany","Female","No","Yes",4.66666666666667,2.5,"NEVER married",25,55,38,35,19
"10354","Germany","Male","No","Yes",3.33333333333333,2.5,"Legally married",25,70,74,45,18
"10355","Germany","Male","No","Yes",4.66666666666667,3,"Legally married",21,65,42,45,13
"10356","Germany","Female","No","Yes",4.33333333333333,3.5,"Legally married",21,75,66,35,20
"10357","Germany","Male","No","Yes",3.33333333333333,3,"Divorced",16,65,51,45,8
"10358","Germany","Female","No","No",4.66666666666667,5,"Legally married",25,80,43,50,17
"10359","Germany","Female","No","Yes",4,3.5,"Divorced",20,55,38,35,13
"10361","Germany","Female","No","No",4.33333333333333,5,"Legally married",17,45,32,30,16
"10363","Germany","Female","No","Yes",4,4,"Legally married",20,75,62,40,11
"10364","Germany","Female","No","Yes",4,3,"NEVER married",20,60,30,38,18
"10365","Germany","Male","No","Yes",4,1,"NEVER married",16,65,32,28,22
"10366","Germany","Male","No","Yes",4,1.5,"NEVER married",18,60,33,35,16
"10367","Germany","Male","No","Yes",3.33333333333333,4,"Legally married",18,50,35,30,13
"10368","Germany","Female","No","No",4,2,"Widowed",20,80,62,50,16
"10369","Germany","Male","No","Yes",3.66666666666667,3,"Legally married",23,70,35,30,17
"10370","Germany","Male","No","Yes",4.33333333333333,5,"Legally married",18,70,67,35,15
"10373","Germany","Female","No","Yes",3.33333333333333,4.5,"Legally married",17,60,46,30,12
"10375","Germany","Male","No","Yes",3.66666666666667,4,"Legally married",25,75,70,45,11
"10376","Germany","Female","No","Yes",3.66666666666667,3.5,"Divorced",23,55,35,36,13
"10378","Germany","Female","No","Yes",3.33333333333333,4.5,"Legally married",30,70,67,40,18
"10380","Germany","Female","No","Yes",3.66666666666667,3,"Divorced",20,70,54,30,12
"10381","Germany","Female","No","Yes",3.66666666666667,4.5,"Widowed",18,80,88,40,10
"10382","Germany","Male","No","Yes",3,3.5,"NEVER married",20,65,39,45,16
"10383","Germany","Male","No","Yes",3,4,"Legally married",20,70,62,40,13
"10385","Germany","Male","No","Yes",4.33333333333333,4,"Legally married",18,65,46,45,12
"10386","Germany","Male","No","Yes",4.66666666666667,4.5,"NEVER married",20,65,30,30,18
"10387","Germany","Female","No","Yes",5,5,"Legally married",25,70,38,40,23
"10388","Germany","Female","No","Yes",4.33333333333333,3.5,"Divorced",25,60,44,40,12
"10389","Germany","Female","No","Yes",4.33333333333333,5,"NEVER married",23,70,38,40,12
"10391","Germany","Female","No","Yes",4.33333333333333,5,"NEVER married",24,62,28,40,18
"10393","Germany","Female","No","Yes",4.66666666666667,3,"Legally married",25,65,39,33,20
"10395","Germany","Male","No","Yes",3.66666666666667,3.5,"Legally married",25,70,53,40,17
"10396","Germany","Female","No","Yes",3.33333333333333,3,"Legally married",16,65,46,45,12
"10397","Germany","Male","No","Yes",4.33333333333333,4,"Widowed",16,70,68,35,20
"10398","Germany","Female","No","Yes",3.66666666666667,3.5,"NEVER married",22,50,22,37,10
"10399","Germany","Female","No","Yes",4.33333333333333,4.5,"Divorced",30,75,69,50,10
"10400","Germany","Female","No","Yes",4,2.5,"NEVER married",20,85,19,30,12
"10401","Germany","Female","Yes","Yes",3.66666666666667,4,"Legally married",25,70,30,40,21
"10402","Germany","Female","Yes","Yes",3,4,"NEVER married",17,70,38,35,15
"10403","Germany","Male","No","Yes",5,3.5,"Divorced",20,60,56,35,17
"10404","Germany","Female","No","Yes",4.33333333333333,2.5,"NEVER married",25,50,29,30,16
"10405","Germany","Female","No","Yes",3,4,"Divorced",19,75,50,50,12
"10406","Germany","Male","No","Yes",4,2.5,"Legally married",18,65,71,45,13
"10407","Germany","Female","No","Yes",3.33333333333333,4,"NEVER married",22,55,29,37,14
"10408","Germany","Female","No","Yes",4.33333333333333,4,"NEVER married",25,65,32,45,14
"10409","Germany","Female","No","Yes",5,3,"NEVER married",18,50,23,30,10
"10410","Germany","Female","No","No",3.66666666666667,3,"NEVER married",18,55,29,35,16
"10411","Germany","Male","No","Yes",4,3,"Widowed",25,50,73,35,18
"10412","Germany","Male","Yes","Yes",4.66666666666667,4,"Legally married",18,60,68,45,12
"10413","Germany","Female","No","Yes",3.33333333333333,4.5,"Legally married",19,70,45,50,13
"10414","Germany","Male","No","Yes",5,5,"Widowed",18,60,82,40,10
"10415","Germany","Female","No","Yes",3,4.5,"NEVER married",20,55,18,25,12
"10416","Germany","Female","No","Yes",4.33333333333333,3,"NEVER married",25,60,41,40,16
"10417","Germany","Female","No","Yes",3,5,"Widowed",20,65,71,45,10
"10418","Germany","Male","No","Yes",4,5,"Legally married",18,70,67,35,16
"10419","Germany","Male","No","Yes",5,5,"Legally married",44,80,44,40,11
"10421","Germany","Male","No","Yes",3.66666666666667,5,"Widowed",25,65,96,45,16
"10422","Germany","Female","Yes","Yes",4,3.5,"Legally married",18,75,66,48,9
"10423","Germany","Female","No","Yes",3.66666666666667,2.5,"Legally married",20,65,42,40,13
"10425","Germany","Male","No","Yes",5,5,"Divorced",49,55,49,45,11
"10426","Germany","Male","No","Yes",4,5,"NEVER married",15,75,16,50,9
"10427","Germany","Female","No","Yes",4,3.5,"Legally married",25,80,43,30,14
"10428","Germany","Female","No","Yes",3.33333333333333,4.5,"Legally married",18,70,51,55,8
"10429","Germany","Male","No","Yes",3.33333333333333,4,"Divorced",18,70,42,50,15
"10432","Germany","Female","Yes","Yes",4,4,"Divorced",18,70,54,50,11
"10433","Germany","Male","No","Yes",4.66666666666667,4.5,"Divorced",18,60,45,35,15
"10434","Germany","Female","No","Yes",3.33333333333333,4.5,"Legally married",23,69,57,43,12
"10436","Germany","Female","No","Yes",4,4.5,"Legally married",18,75,56,45,12
"10437","Germany","Female","No","Yes",5,4,"Legally married",18,65,38,50,13
"10438","Germany","Female","No","Yes",4.33333333333333,4.5,"Legally married",20,65,72,40,10
"10439","Germany","Male","No","Yes",4.66666666666667,5,"Legally married",22,70,71,45,10
"10440","Germany","Male","No","Yes",5,4,"Legally married",20,70,49,45,17
"10441","Germany","Male","No","Yes",4.33333333333333,4.5,"NEVER married",19,70,41,35,16
"10442","Germany","Male","No","Yes",5,4,"Legally married",21,69,63,50,15
"10443","Germany","Male","No","Yes",4.66666666666667,4.5,"NEVER married",18,75,25,40,15
"10444","Germany","Male","No","Yes",4,5,"NEVER married",16,60,19,45,13
"10445","Germany","Male","No","Yes",1.33333333333333,1,"NEVER married",18,60,18,40,11
"10446","Germany","Female","No","Yes",4.66666666666667,4.5,"NEVER married",33,75,33,45,13
"10447","Germany","Male","No","Yes",4,4.5,"NEVER married",16,55,18,35,12
"10448","Germany","Male","No","Yes",4,2,"Widowed",19,60,71,40,13
"10449","Germany","Female","No","Yes",4.66666666666667,4,"Legally married",30,75,38,30,12
"10450","Germany","Female","No","Yes",5,5,"NEVER married",18,60,22,35,13
"10451","Germany","Female","No","Yes",3.33333333333333,4.5,"NEVER married",20,65,17,50,11
"10452","Germany","Male","No","Yes",0.333333333333333,0,"NEVER married",16,50,24,35,10
"10453","Germany","Male","No","Yes",4.66666666666667,5,"Widowed",81,75,81,40,11
"10454","Germany","Male","No","Yes",3.66666666666667,4,"NEVER married",18,60,19,30,12
"10455","Germany","Male","No","Yes",4.33333333333333,4.5,"Legally married",21,70,75,45,11
"10456","Germany","Male","No","Yes",3.66666666666667,4,"Legally married",20,70,69,45,13
"10457","Germany","Female","No","Yes",4.33333333333333,4.5,"Legally married",16,50,52,40,12
"10458","Germany","Male","No","Yes",5,5,"Legally married",20,70,43,42,14
"10459","Germany","Male","No","Yes",4,5,"Legally married",56,70,56,48,13
"10460","Germany","Male","No","Yes",3.66666666666667,4.5,"Legally married",41,60,41,43,16
"10461","Germany","Male","No","Yes",3.66666666666667,5,"Legally married",21,65,54,40,13
"10462","Germany","Male","No","Yes",5,5,"NEVER married",23,70,51,50,8
"10463","Germany","Male","No","Yes",5,4.5,"Legally married",18,70,46,42,18
"10465","Germany","Male","No","Yes",3.33333333333333,3,"Legally married",25,70,60,36,10
"10467","Germany","Male","No","Yes",3.66666666666667,3.5,"Legally married",25,65,45,40,19
"10468","Germany","Female","No","Yes",2.66666666666667,3,"NEVER married",25,60,41,40,10
"10470","Germany","Female","No","Yes",3,3,"NEVER married",29,40,29,35,10
"10471","Germany","Male","No","Yes",3,3,"NEVER married",21,65,26,35,10
"10472","Germany","Female","No","Yes",3.66666666666667,4,"Divorced",63,70,64,40,10
"10476","Germany","Male","No","Yes",2.66666666666667,2.5,"NEVER married",18,55,15,32,9
"10477","Germany","Female","No","Yes",3.33333333333333,3.5,"NEVER married",20,65,19,35,10
"10479","Germany","Male","No","Yes",2.66666666666667,1,"Legally married",18,80,69,40,21
"10481","Germany","Male","No","Yes",3.33333333333333,3.5,"NEVER married",19,60,22,35,15
"10482","Germany","Male","No","Yes",3,2.5,"Legally married",20,65,63,35,17
"10483","Germany","Male","No","Yes",3.33333333333333,3,"Divorced",22,55,46,35,16
"10484","Germany","Male","No","Yes",4.66666666666667,3,"Legally married",23,70,85,45,16
"10485","Germany","Female","No","Yes",4.33333333333333,2.5,"Divorced",18,65,45,40,18
"10487","Germany","Male","No","Yes",3,3,"Divorced",22,65,41,45,15
"10489","Germany","Male","No","Yes",2.66666666666667,3.5,"Legally married",18,60,50,38,14
"10491","Germany","Female","No","No",4.66666666666667,4,"Divorced",20,75,71,40,14
"10492","Germany","Male","No","Yes",5,3,"Legally married",16,73,69,48,11
"10493","Germany","Female","No","Yes",4,3,"NEVER married",20,70,37,40,14
"10494","Germany","Female","No","Yes",4.66666666666667,4.5,"Divorced",18,60,64,40,13
"10495","Germany","Female","No","Yes",4.33333333333333,4,"Legally married",18,70,74,40,8
"10496","Germany","Male","No","Yes",3,2.5,"Legally married",19,70,40,45,14
"10497","Germany","Male","No","Yes",2.33333333333333,2,"Legally married",20,75,62,50,15
"10498","Germany","Male","No","Yes",4.33333333333333,4.5,"Legally married",20,80,66,40,16
"10500","Germany","Male","No","Yes",3.66666666666667,3.5,"NEVER married",18,65,20,45,13
"10501","Germany","Male","No","Yes",4.66666666666667,5,"Legally married",18,70,80,40,12
"10502","Germany","Male","No","Yes",2,1.5,"NEVER married",18,65,22,40,11
"10503","Germany","Male","No","Yes",5,3.5,"Legally married",20,70,38,48,15
"10504","Germany","Male","No","Yes",4,3.5,"Legally married",15,60,41,30,14
"10505","Germany","Female","No","Yes",2,4.5,"Legally married",19,60,33,40,15
"10506","Germany","Female","No","Yes",4.66666666666667,5,"Widowed",18,70,67,45,8
"10507","Germany","Male","No","Yes",3.33333333333333,4.5,"NEVER married",18,75,55,45,13
"10508","Germany","Male","No","Yes",2,3,"NEVER married",18,65,18,45,17
"10509","Germany","Male","No","Yes",3.33333333333333,4,"Legally married",20,65,43,40,15
"10510","Germany","Male","No","Yes",1.33333333333333,1.5,"NEVER married",18,60,36,40,12
"10511","Germany","Male","No","Yes",4,4.5,"Legally married",21,70,73,35,16
"10513","Germany","Male","No","Yes",4,4.5,"Legally married",18,50,61,35,18
"10514","Germany","Male","No","Yes",4.66666666666667,4.5,"Legally married",20,70,67,40,17
"10515","Germany","Male","No","Yes",3.66666666666667,2.5,"NEVER married",16,65,42,40,17
"10516","Germany","Male","No","Yes",3,3,"Legally married",17,60,66,35,13
"10517","Germany","Female","No","Yes",4.33333333333333,4.5,"Legally married",17,60,53,35,16
"10518","Germany","Female","No","Yes",3.66666666666667,5,"Legally married",21,75,68,45,8
"10519","Germany","Female","No","Yes",3.33333333333333,3.5,"NEVER married",16,60,45,35,12
"10520","Germany","Female","No","Yes",2.33333333333333,4.5,"NEVER married",20,55,19,40,12
"10521","Germany","Male","No","Yes",1.66666666666667,2.5,"NEVER married",21,58,27,35,10
"10522","Germany","Female","No","Yes",3,5,"Legally married",25,60,27,40,12
"10523","Germany","Female","No","Yes",4,4.5,"Legally married",24,65,50,50,13
"10524","Germany","Male","No","Yes",1.66666666666667,4.5,"Legally married",25,70,62,40,13
"10525","Germany","Female","No","Yes",4,5,"Legally married",25,65,69,45,16
"10526","Germany","Female","No","Yes",2,4.5,"Legally married",15,60,79,25,8
"10527","Germany","Male","No","Yes",1.33333333333333,2.5,"NEVER married",18,50,15,40,10
"10528","Germany","Female","No","Yes",3.33333333333333,4.5,"NEVER married",17,70,33,35,10
"10529","Germany","Male","No","Yes",3,5,"Legally married",19,70,46,43,10
"10530","Germany","Male","No","Yes",2.33333333333333,5,"Legally married",21,65,85,45,8
"10531","Germany","Female","No","No",4,5,"Legally married",25,65,62,50,10
"10532","Germany","Female","No","Yes",1.66666666666667,4.5,"Widowed",25,60,87,40,6
"10533","Germany","Female","Yes","Yes",0.666666666666667,2,"NEVER married",17,50,19,35,12
"10534","Germany","Female","No","Yes",1.33333333333333,5,"Legally married",20,60,49,30,10
"10535","Germany","Male","No","Yes",2.33333333333333,5,"Legally married",18,70,79,40,8
"10536","Germany","Female","Yes","Yes",2.66666666666667,5,"Widowed",18,60,84,40,8
"10537","Germany","Female","No","Yes",1.66666666666667,4,"Legally married",20,70,50,35,10
"10538","Germany","Female","Yes","Yes",3.66666666666667,5,"Divorced",20,60,65,35,8
"10539","Germany","Male","No","Yes",3,5,"Legally married",22,79,55,45,12
"10540","Germany","Male","Yes","Yes",4.66666666666667,5,"Legally married",18,70,56,35,10
"10541","Germany","Male","No","No",4,5,"Legally married",20,60,33,45,8
"10542","Germany","Female","No","Yes",1.66666666666667,4.5,"Divorced",23,62,28,40,10
"10543","Germany","Female","No","Yes",3.33333333333333,4,"Widowed",25,75,77,50,15
"10544","Germany","Female","No","Yes",4.66666666666667,3.5,"Widowed",18,50,79,35,15
"10546","Germany","Female","Yes","Yes",3.66666666666667,2.5,"Widowed",17,65,70,45,20
"10547","Germany","Male","No","Yes",4.33333333333333,3,"Legally married",18,70,50,40,11
"10548","Germany","Male","No","Yes",4,4.5,"Legally married",20,60,81,40,8
"10549","Germany","Female","No","Yes",5,4.5,"Widowed",21,55,79,40,8
"10550","Germany","Female","Yes","Yes",4.66666666666667,4.5,"Legally married",18,60,63,40,21
"10551","Germany","Female","No","Yes",4,5,"Legally married",22,70,52,45,16
"10552","Germany","Female","No","Yes",3.66666666666667,4.5,"Divorced",25,60,66,40,9
"10553","Germany","Female","No","Yes",4.33333333333333,3.5,"NEVER married",20,70,25,40,16
"10554","Germany","Male","No","Yes",4.33333333333333,3,"Widowed",18,55,89,30,18
"10555","Germany","Male","No","Yes",4,5,"Legally married",19,60,72,40,18
"10556","Germany","Male","No","Yes",4,4,"Legally married",17,55,42,40,12
"10557","Germany","Male","No","Yes",4.66666666666667,5,"NEVER married",21,60,71,45,10
"10558","Germany","Female","No","Yes",3.66666666666667,4,"Legally married",16,65,37,40,15
"10560","Germany","Male","No","Yes",3.66666666666667,3,"Legally married",21,70,76,35,17
"10561","Germany","Male","Yes","Yes",1.66666666666667,2.5,"NEVER married",18,55,21,30,12
"10563","Germany","Female","Yes","Yes",5,3.5,"Legally married",25,75,56,40,20
"10565","Germany","Female","No","Yes",4.33333333333333,4,"Legally married",20,70,59,45,16
"10566","Germany","Female","No","Yes",4.66666666666667,3,"NEVER married",20,55,19,35,12
"10567","Germany","Male","No","Yes",4.33333333333333,4.5,"NEVER married",16,65,26,35,13
"10568","Germany","Male","No","Yes",4.33333333333333,3,"Legally married",22,72,57,40,12
"10569","Germany","Female","Yes","Yes",4.33333333333333,3.5,"Legally married",20,75,33,40,13
"10570","Germany","Male","No","Yes",4.33333333333333,3.5,"Legally married",25,80,57,45,17
"10571","Germany","Female","No","Yes",5,4.5,"NEVER married",20,55,30,30,13
"10572","Germany","Female","Yes","Yes",4,3.5,"NEVER married",23,65,25,35,13
"10573","Germany","Female","No","Yes",5,3.5,"Legally married",20,75,80,40,10
"10574","Germany","Female","No","Yes",5,4.5,"NEVER married",21,70,40,39,13
"10575","Germany","Female","No","Yes",3.33333333333333,3.5,"NEVER married",28,60,42,50,14
"10576","Germany","Female","No","Yes",4,4,"Legally married",20,60,56,40,16
"10577","Germany","Female","No","Yes",3.33333333333333,3,"Legally married",18,65,57,45,14
"10579","Germany","Male","No","Yes",3.66666666666667,4.5,"NEVER married",20,50,26,30,12
"10580","Germany","Male","Yes","Yes",3.66666666666667,2.5,"Legally married",16,60,76,35,17
"10581","Germany","Female","No","Yes",4.66666666666667,2.5,"Divorced",20,80,56,40,17
